"SpeciesID"	"Plot"	"Pheno.Event"	"MinDOY"	"MeanDOY"	"MaxDOY"
"1"	"ANMU"	"Art1"	"End"	191.678687255739	214.665017095099	230.69029363133
"2"	"ANMU"	"Art1"	"Onset"	156.254218002203	176.788451222496	194.197704219149
"3"	"ANMU"	"Art1"	"Peak"	170.577528193888	193.283638753583	209.763559996822
"4"	"ANMU"	"Art2"	"End"	189.664890487407	207.662319006257	227.175056966488
"5"	"ANMU"	"Art2"	"Onset"	156.224593127928	172.204917327225	193.07839514083
"6"	"ANMU"	"Art2"	"Peak"	168.026266407877	189.50486503987	208.198158491123
"7"	"ANMU"	"Art3"	"End"	192.100769331208	220.792269728841	235.729876951153
"8"	"ANMU"	"Art3"	"Onset"	162.056809137795	183.859206112645	206.235570755104
"9"	"ANMU"	"Art3"	"Peak"	178.599752608556	201.880500474681	227.946289911377
"10"	"ANMU"	"Art4"	"End"	200.013421894876	222.293289393448	232.855152740177
"11"	"ANMU"	"Art4"	"Onset"	166.294778727196	185.166643201077	207.055835085786
"12"	"ANMU"	"Art4"	"Peak"	185.431704324656	202.61781813473	220.489381784611
"13"	"ANMU"	"Art5"	"End"	194.504388205367	218.174630695878	233.161544755485
"14"	"ANMU"	"Art5"	"Onset"	160.510712376772	174.596409017399	191.238437475757
"15"	"ANMU"	"Art5"	"Peak"	181.677175198593	195.559714450375	210.4473265055
"16"	"ANMU"	"Art6"	"End"	194.627444539705	218.036871757786	233.820978735771
"17"	"ANMU"	"Art6"	"Onset"	156.107934649518	180.827276991161	204.01241956993
"18"	"ANMU"	"Art6"	"Peak"	168.373339872077	198.762042559519	218.288460783897
"19"	"ANMU"	"Art7"	"End"	194.801243534527	217.329242518586	230.197517970795
"20"	"ANMU"	"Art7"	"Onset"	159.613580179361	174.055696654565	187.41040219231
"21"	"ANMU"	"Art7"	"Peak"	182.777508338434	195.992378646587	213.366493761367
"22"	"Acari"	"Art1"	"End"	202.44966640527	218.317011665401	233.346774960084
"23"	"Acari"	"Art1"	"Onset"	162.828830496805	180.456948154836	205.928908163505
"24"	"Acari"	"Art1"	"Peak"	182.434606150317	196.995392997469	214.488571854003
"25"	"Acari"	"Art2"	"End"	189.357566456081	215.303712225844	231.123475287375
"26"	"Acari"	"Art2"	"Onset"	155.644424234578	168.535944894368	179.571470411179
"27"	"Acari"	"Art2"	"Peak"	165.845160017009	189.289150034243	206.578516049216
"28"	"Acari"	"Art3"	"End"	220.024966446563	229.874355980761	235.550739629484
"29"	"Acari"	"Art3"	"Onset"	160.562237635657	176.21806020721	196.496800514545
"30"	"Acari"	"Art3"	"Peak"	188.966785605961	204.954599600245	221.638089800186
"31"	"Acari"	"Art4"	"End"	217.810631935777	229.760321398368	235.038713973052
"32"	"Acari"	"Art4"	"Onset"	163.773721387814	179.658002985173	196.565886240193
"33"	"Acari"	"Art4"	"Peak"	188.805381210136	205.348565276603	221.455007919381
"34"	"Acari"	"Art5"	"End"	213.887210646185	223.951818311188	234.202601823673
"35"	"Acari"	"Art5"	"Onset"	154.806298510013	181.850978736485	201.737809356457
"36"	"Acari"	"Art5"	"Peak"	160.383526625552	201.884849734352	221.013072337766
"37"	"Acari"	"Art6"	"End"	171.652515374896	223.096887767396	235.932728087244
"38"	"Acari"	"Art6"	"Onset"	154.709414804462	184.748381583122	207.850042907993
"39"	"Acari"	"Art6"	"Peak"	159.227372645386	204.139105589733	225.597193872904
"40"	"Acari"	"Art7"	"End"	204.587223802122	223.517408676825	233.928092434563
"41"	"Acari"	"Art7"	"Onset"	160.825412368977	178.391548294009	196.775343245809
"42"	"Acari"	"Art7"	"Peak"	179.311710696404	201.000269041786	218.886465495406
"43"	"Agromyzidae"	"Art1"	"End"	176.698737985275	176.698737985275	176.698737985275
"44"	"Agromyzidae"	"Art1"	"Onset"	155.458306494461	155.458306494461	155.458306494461
"45"	"Agromyzidae"	"Art1"	"Peak"	162.367640146226	162.367640146226	162.367640146226
"46"	"Agromyzidae"	"Art5"	"End"	164.359757595828	164.359757595828	164.359757595828
"47"	"Agromyzidae"	"Art5"	"Onset"	154.423768159683	154.423768159683	154.423768159683
"48"	"Agromyzidae"	"Art5"	"Peak"	156.963111423605	156.963111423605	156.963111423605
"49"	"Agromyzidae"	"Art7"	"End"	159.952149676162	159.952149676162	159.952149676162
"50"	"Agromyzidae"	"Art7"	"Onset"	154.297300281414	154.297300281414	154.297300281414
"51"	"Agromyzidae"	"Art7"	"Peak"	156.205786154134	156.205786154134	156.205786154134
"52"	"Aphidoidea"	"Art2"	"End"	215.895992436597	225.040498225797	234.962970784744
"53"	"Aphidoidea"	"Art2"	"Onset"	173.561747019819	186.763024384231	206.059754928367
"54"	"Aphidoidea"	"Art2"	"Peak"	194.530038799529	207.154877997546	223.840105961081
"55"	"Aphidoidea"	"Art3"	"End"	212.249294708322	226.031068059351	235.110579226587
"56"	"Aphidoidea"	"Art3"	"Onset"	187.442617990776	191.253335266552	193.70949633391
"57"	"Aphidoidea"	"Art3"	"Peak"	197.837948220248	210.107704462193	220.870363976165
"58"	"Aphidoidea"	"Art4"	"End"	206.875011663874	219.499690664034	232.124369664194
"59"	"Aphidoidea"	"Art4"	"Onset"	183.605820710097	184.67520639866	185.744592087223
"60"	"Aphidoidea"	"Art4"	"Peak"	193.675912698787	201.725674899296	209.775437099805
"61"	"Aphidoidea"	"Art7"	"End"	230.265992047185	233.525300044347	235.700440727032
"62"	"Aphidoidea"	"Art7"	"Onset"	176.186459305892	194.389177984366	215.353254521822
"63"	"Aphidoidea"	"Art7"	"Peak"	206.256412098275	217.988708886474	226.414009513002
"64"	"Apidae"	"Art5"	"End"	216.295711490623	216.295711490623	216.295711490623
"65"	"Apidae"	"Art5"	"Onset"	195.293100281205	195.293100281205	195.293100281205
"66"	"Apidae"	"Art5"	"Peak"	208.257485897784	208.257485897784	208.257485897784
"67"	"Braconidae"	"Art5"	"End"	235.110929758987	235.110929758987	235.110929758987
"68"	"Braconidae"	"Art5"	"Onset"	195.101288541707	195.101288541707	195.101288541707
"69"	"Braconidae"	"Art5"	"Peak"	221.264876035843	221.264876035843	221.264876035843
"70"	"CHCE"	"Art1"	"End"	165.467455225385	195.041659353058	221.639545994962
"71"	"CHCE"	"Art1"	"Onset"	154.415008146201	167.845772947329	188.33356842719
"72"	"CHCE"	"Art1"	"Peak"	157.299631735388	179.769983297529	193.615514285699
"73"	"CHCE"	"Art2"	"End"	182.429591533326	198.67902930145	214.225829059076
"74"	"CHCE"	"Art2"	"Onset"	156.692701195838	171.205842103877	184.532148913815
"75"	"CHCE"	"Art2"	"Peak"	170.225349887973	184.275737998004	196.766793255175
"76"	"CHCE"	"Art3"	"End"	197.542007644181	212.681797815731	235.218356004345
"77"	"CHCE"	"Art3"	"Onset"	170.042046305989	185.240899614222	214.711947772581
"78"	"CHCE"	"Art3"	"Peak"	185.945744362016	198.250702655836	225.800563581309
"79"	"CHCE"	"Art4"	"End"	195.819605632683	212.738814715443	232.46332757371
"80"	"CHCE"	"Art4"	"Onset"	158.582312818972	182.901750958555	198.374071531755
"81"	"CHCE"	"Art4"	"Peak"	180.274253175087	196.323908375933	209.762263752455
"82"	"CHCE"	"Art5"	"End"	190.347955366639	207.182514245777	230.08284203389
